NACE_1_1_CODE,en_Description,NACE_2007_CODE,NACE_2007_DESCRPTION,Comments
20.3,Manufacture of builders' carpentry and joinery,41.2,Construction of residential and non-residential buildings,Assembly and installation of self-manufactured buildings of wood on site
20.3,Manufacture of builders' carpentry and joinery,43.32,Joinery installation,Installation (erection) work of self-manufactured builders’ ware of wood
20.3,Manufacture of builders' carpentry and joinery,43.91,Roofing activities,Roofing activities
20.4,Manufacture of wooden containers,16.24,Manufacture of wooden containers,Except repair
20.4,Manufacture of wooden containers,33.19,Repair of other equipment,"Repair or reconditioning wooden pallets, shipping drums or barrels, and similar items"
20.51,Manufacture of other products of wood,16.29,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",Except manufacture of coffins and repair and maintenance of wooden products n.e.c.
20.51,Manufacture of other products of wood,32.99,Other manufacturing n.e.c. ,Manufacture of coffins
20.51,Manufacture of other products of wood,33.19,Repair of other equipment,Repair and maintenance of wooden products n.e.c.
20.52,"Manufacture of articles of cork, straw and plaiting materials",16.29,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",Except cork life preservers
20.52,"Manufacture of articles of cork, straw and plaiting materials",32.99,Other manufacturing n.e.c. ,Cork life preservers
21.11,Manufacture of pulp,17.11,Manufacture of pulp,=
21.12,Manufacture of paper and paperboard,17.12,Manufacture of paper and paperboard,=
21.21,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,17.21,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,=
21.22,Manufacture of household and sanitary goods and of toilet requisites,17.22,Manufacture of household and sanitary goods and of toilet requisites,Except printing on items listed in class 17.22
21.22,Manufacture of household and sanitary goods and of toilet requisites,18.12,Other printing,Printing on items listed in class 17.22
21.23,Manufacture of paper stationery,17.23,Manufacture of paper stationery,All
21.24,Manufacture of wallpaper,17.24,Manufacture of wallpaper,=
21.25,Manufacture of other articles of paper and paperboard n.e.c.,17.29,Manufacture of other articles of paper and paperboard,Except lithographic printing on labels or tags; gravure printing on labels or tags; flexographic printing on labels or tags; screen printing on labels and tags; other printing on labels and tags
21.25,Manufacture of other articles of paper and paperboard n.e.c.,18.12,Other printing,Lithographic printing on labels or tags; gravure printing on labels or tags; flexographic printing on labels or tags; screen printing on labels and tags; other printing on labels and tags
22.11,Publishing of books,32.99,Other manufacturing n.e.c. ,Manufacture of globes
22.11,Publishing of books,58.11,Book publishing,Except publishing of directories and mailing lists and manufacture of globes
